Index,case,accept to use AI? trust it?,require explanation? (yes/no/x(not asked)),1st round: specific explanation,2nd round: Comments on card sorting choices ,cards fulfill requirement? (y/n/partial/x(not asked)/black:accept blackbox AI and not require explaination),1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
P01,#Bird-trust,y,y,key features,"@te 有图可以根据自己的经验直接对比input判断ai是不是对; @ceh key feature而且跟input和其他鸟有对比,可以知道高亮是不是对的,帮助学习,可以知道靠什么来判断的; @cet不需要看怎么变的,影响我看key feature,就要看哪里不一样. @prior 想看数据量,数据量小而又那么可信,我觉得至少不同class数据量要差不多才行. @rt summary 可以cover之前几个没cover的",y,te,ceh,prior,rt,,,,,,,,,
P01,#Bird-unexpect,y,y,人反正也会犯错;key features,"@ceh 看根据什么判断的,key feature跟自己的key feature 一样不一样; @se 如果判断跟我不一致的,后面几个similar的至少会出现我认为的答案,让我知道它到底是完全不靠谱,还是识别上需要改进. @te @se差不多,@se可以显示更多其他鸟的可能类别.",y,ceh,se,,,,,,,,,,,
P01,#Bird-learning,y,y,"期待AI会进化,或提供改进错误的功能; key feature","@rt考试是需要写,会用到文字",y,ceh,se,rt,,,,,,,,,,
P01,#Bird-report,y,y,"多一些相关数据,类似flashcard,给wikipedia类似的知识",,y,ceh,se,rt,,,,,,,,,,
P01,#Bird-differentiate,y,y,两种不同的鸟key feature可以识别出来,"irc可以提供别的思路,除了key feature外判断还有哪些地方可以去找",y,ceh,se,irc,,,,,,,,,,
P02,#Health-trust,y,y,,,y,input,fs fi,rt dt df,,,,,,,,,,
P02,#Health-communicate-doctor,y,y,,,y,input,,,,,,,,,,,,
P02,#Health-communicate-family,y,y,,,y,ce,,,,,,,,,,,,
P02,#Health-bias,y,y,,,y,fs,,,,,,,,,,,,
P02,#Health-multi,y,y,,,y,prior input,performance,,,,,,,,,,,
P02,#Health-unexpect-lowRisk,depends,y,,,n,input,,,,,,,,,,,,
P02,#Health-unexpect-highRisk,y,y,,,x,x,,,,,,,,,,,,
P02,#Health-expected-highRisk,y,y,,,x,x,,,,,,,,,,,,
P02,#Health-expected-lowRisk,x,x,,,x,x,,,,,,,,,,,,
P02,#Health-control,y,y,,,y,ce,fa,,,,,,,,,,,
P02,#Bird-trust,y,y,,,y,se te,dt,,,,,,,,,,,
P02,#Bird-unexpect,depends,depends,,,y,se te,dt,,,,,,,,,,,
P02,#Bird-learning,y,y,,,y,rt dt df,se te,,,,,,,,,,,
P02,#Bird-report,y,y,,,y,rt,,,,,,,,,,,,
P02,#Bird-differentiate,y,y,,,y,rt,,,,,,,,,,,,
P05,#Car-safe,y,y,,,y,irc,dt,se,,,,,,,,,,
P05,#Car-unexpect,y,y,,,y,performance,irc,,,,,,,,,,,
P05,#Car-bias,y,y,,,partial,ir,performance,,,,,,,,,,,
P05,#Car-multi,y,n,,,n,none,,,,,,,,,,,,
P05,#Car-communicate,y,y,,,y,rt,ir,te,dt,,,,,,,,,
P05,#Bird-trust,depends,y,,,y,te,se,rt,,,,,,,,,,
P05,#Bird-unexpect,depends,x,,,y,se,performance,,,,,,,,,,,
P05,#Bird-learning,y,y,,,y,dt,rt,se,,,,,,,,,,
P05,#Bird-report,y,y,,,y,rt,se,,,,,,,,,,,
P05,#Bird-differentiate,y,y,,,y,rt,,,,,,,,,,,,
P32,#Car-safe,y,y,,,y,se,te,input output,performance,ir irc,,,,,,,,
P32,#Car-unexpect,y,y,,,y,se,te,input output,performance,ir irc,,,,,,,,
P32,#Car-bias,y,n,,,y,ir irc,input output df dt,se te,performance,,,,,,,,,
P32,#Car-multi,y,n,,,y,se te,ir irc,input output performance,,,,,,,,,,
P32,#Car-communicate,y,y,,,y,se,te,input output,performance,ir irc,,,,,,,,
P10,#Bird-trust,y,y,,,y,performance,dt,rt,df,irc,ir,,,,,,,
P10,#Bird-unexpect,y,n,,,y,dt,te,se,ceh,ir,irc,df,,,,,,
P10,#Bird-learning,depends,y,,,y,dt,rt,ceh,ir,irc,df,se,te,,,,,
P10,#Bird-report,depends,y,,,y,rt,dt,irc,df,ir,,,,,,,,
P10,#Bird-differentiate,n,y,,,y,ceh,cet,rt,dt,,,,,,,,,
P10,#House-trust,y,y,,,y,dt,fi,output,prior,fa,fs,,,,,,,
P10,#House-expected,y,n,,,y,se,dt,,,,,,,,,,,
